,Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,ISRC,Added By,Added At,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Album Genres,Label,Copyrights,cluster
72,spotify:track:043bfUkTydw0xJ5JjOT91w,Don't You Worry Child,"spotify:artist:1h6Cn3P4NGzXbaXidqURXs, spotify:artist:2auikkNYqigWStoHWK1Grq","Swedish House Mafia, John Martin",spotify:album:4ljisoNarj0BpQSMIEv88L,Until Now,spotify:artist:1h6Cn3P4NGzXbaXidqURXs,Swedish House Mafia,2012-01-01,https://i.scdn.co/image/ab67616d0000b273781f6dd5abe91929df0314e3,1,7,403493,https://p.scdn.co/mp3-preview/abae7ffcd8c653c8500f5698a5b94b715a455fb6?cid=9950ac751e34487dbbe027c4fd7f8e99,False,65,GBAAA1200643,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"edm,pop dance,progressive electro house,pop edm",0.632,0.88,2.0,-4.051,1.0,0.0463,0.0144,0.0021,0.118,0.338,129.007,4.0,,Virgin Records,"C © 2012 EMI Records Ltd, P ℗ 2012 EMI Records Ltd",2
74,spotify:track:2EcsgXlxz99UMDSPg5T8RF,Beneath Your Beautiful (feat. Emeli Sandé),"spotify:artist:2feDdbD5araYcm6JhFHHw7, spotify:artist:7sfgqEdoeBTjd8lQsPT3Cy","Labrinth, Emeli Sandé",spotify:album:6PBBbXmYV7dKnaik0fjkOI,Electronic Earth (Expanded Edition),spotify:artist:2feDdbD5araYcm6JhFHHw7,Labrinth,2012-04-02,https://i.scdn.co/image/ab67616d0000b273d9370e27abe3de676c56873a,1,7,271813,https://p.scdn.co/mp3-preview/f34a73c3e81e50bcf7e2d1923b8a9407ab07538e?cid=9950ac751e34487dbbe027c4fd7f8e99,False,72,GBHMU1200008,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"indie poptimism,pop,r&b,talent show",0.561,0.522,2.0,-5.857,1.0,0.0318,0.227,0.0,0.104,0.238,83.962,4.0,,Syco Music UK,P (P) 2012 Simco Limited under exclusive license to Sony Music Entertainment UK Limited,0
76,spotify:track:5id3Rqn7SPj1LX4FfY4nGz,Together,spotify:artist:5WUlDfRSoLAfcVSX1WnrxN,Sia,spotify:album:4TM7wmWEakp4xk1ZffVkL8,Together,spotify:artist:5WUlDfRSoLAfcVSX1WnrxN,Sia,2020-05-20,https://i.scdn.co/image/ab67616d0000b273e279a8ea467c75ed400f812f,1,1,205207,https://p.scdn.co/mp3-preview/760983d5786a1b41f4b4c937c4e80e77bc58416b?cid=9950ac751e34487dbbe027c4fd7f8e99,False,64,USAT22001187,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"australian dance,australian pop,pop",0.521,0.877,7.0,-5.444,1.0,0.0683,0.0132,0.0806,0.0929,0.199,180.007,4.0,,Monkey Puzzle/Atlantic,"C © 2020 Monkey Puzzle Music, Inc., under exclusive license to Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States., P ℗ 2020 Monkey Puzzle Music, Inc., under exclusive license to Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States.",2
77,spotify:track:0R7YVi7w41Dr9jU5vblAok,Sweat - Remix,"spotify:artist:7hJcb9fa4alzcOq3EaNPoG, spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:39unIFnj3C60Q4FtYdS7fW, spotify:artist:6mr36E8GEO5zhtL71GCrZ5","Snoop Dogg, David Guetta, Giorgio Tuinfort, Frederic Riesterer",spotify:album:7i3ZUKLj6bszovw4IfRECy,Sweat (Snoop Dogg Vs. David Guetta) [Remix],"spotify:artist:7hJcb9fa4alzcOq3EaNPoG, spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai","Snoop Dogg, David Guetta",2011-01-01,https://i.scdn.co/image/ab67616d0000b2739fa2954cdefd83d439a1e7ac,1,1,195986,https://p.scdn.co/mp3-preview/58b317d9747108381887d51e6f80034836bf4efc?cid=9950ac751e34487dbbe027c4fd7f8e99,False,73,USCA21100463,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"g funk,gangster rap,hip hop,pop rap,rap,west coast rap,big room,dance pop,edm,pop,pop dance",0.813,0.732,7.0,-5.636,1.0,0.03,0.0597,0.00137,0.0826,0.731,130.02,4.0,,Capitol Records,"C © 2011 Capitol Records, LLC, P ℗ 2011 Capitol Records, LLC",1
79,spotify:track:5TvFfDlVoUWZvfqrhTJzD7,One,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,spotify:album:1xn54DMo2qIqBuMqHtUsFd,x (Deluxe Edition),spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,2014-06-21,https://i.scdn.co/image/ab67616d0000b27313b3e37318a0c247b550bccd,1,1,252760,https://p.scdn.co/mp3-preview/9a27ec964aaa90ead0b17b558161230ba82e16d2?cid=9950ac751e34487dbbe027c4fd7f8e99,False,64,GBAHS1400092,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"pop,singer-songwriter pop,uk pop",0.464,0.321,2.0,-11.12,1.0,0.0418,0.877,0.0,0.0789,0.306,93.528,4.0,,Atlantic Records UK,"C © 2014 Asylum Records UK, a Warner Music UK Company, P ℗ 2014 Asylum Records UK, a Warner Music UK Company, except track 16 2013 Warner Bros. Entertainment Inc. and Metro-Goldwyn-Mayer Pictures Inc.",0
80,spotify:track:6uBhi9gBXWjanegOb2Phh0,Stay,"spotify:artist:2qxJFvFYMEDqd7ui6kSAcq, spotify:artist:2wUjUUtkb5lvLKcGKsKqsR","Zedd, Alessia Cara",spotify:album:1I4W7JKzYbl8VKRfD61DIS,Stay,"spotify:artist:2qxJFvFYMEDqd7ui6kSAcq, spotify:artist:2wUjUUtkb5lvLKcGKsKqsR","Zedd, Alessia Cara",2017-02-23,https://i.scdn.co/image/ab67616d0000b273b993cba8ff7d0a8e9ee18d46,1,1,210090,https://p.scdn.co/mp3-preview/264d0f4ee99b296da9d43c4ddd0ffa265c25b247?cid=9950ac751e34487dbbe027c4fd7f8e99,False,79,USUM71700736,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"complextro,edm,german techno,pop,pop dance,canadian contemporary r&b,canadian pop,pop",0.69,0.622,5.0,-5.025,0.0,0.0622,0.253,0.0,0.116,0.544,102.04,4.0,,UMGRI Interscope,"C © 2017 Interscope Records, P ℗ 2017 Interscope Records",1
82,spotify:track:77TT8Xvx637TpzV8kKGkUw,Titanium (feat. Sia),"spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:5WUlDfRSoLAfcVSX1WnrxN","David Guetta, Sia",spotify:album:08DAekBeqPRCsn3XHDwj6b,Nothing but the Beat,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,2011-08-31,https://i.scdn.co/image/ab67616d0000b273b234aeff6eedc8276fe0333a,1,13,245040,https://p.scdn.co/mp3-preview/6c3e9bbcebdbfa7875c6a56c2bb4da2a870c250b?cid=9950ac751e34487dbbe027c4fd7f8e99,False,63,GB28K1100036,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"big room,dance pop,edm,pop,pop dance,australian dance,australian pop,pop",0.604,0.788,0.0,-3.673,0.0,0.103,0.0678,0.153,0.127,0.301,126.06,4.0,,Parlophone (France),"C © 2011 What A Music Ltd, Licence exclusive Parlophone Music France, P ℗ 2011 What A Music Ltd, Licence exclusive Parlophone Music France",2
86,spotify:track:45bE4HXI0AwGZXfZtMp8JR,you broke me first,spotify:artist:45dkTj5sMRSjrmBSBeiHym,Tate McRae,spotify:album:1RWiRfdNZKDe8VXzzf2VEc,you broke me first,spotify:artist:45dkTj5sMRSjrmBSBeiHym,Tate McRae,2020-04-17,https://i.scdn.co/image/ab67616d0000b2730c2c97099fd6a637ed0aa4a4,1,1,169265,https://p.scdn.co/mp3-preview/388d1bd4858bcfbfb3bdcde4d6626cc771b635dd?cid=9950ac751e34487dbbe027c4fd7f8e99,True,85,USRC12000832,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"alt z,pop",0.667,0.373,4.0,-9.389,1.0,0.05,0.785,0.0,0.0906,0.0823,124.148,4.0,,RCA Records Label,"P (P) 2020 RCA Records, a division of Sony Music Entertainment",0
90,spotify:track:6SLTPbDxDYR0uSMTT7gSb7,I'm In Control,"spotify:artist:2VAnyOxzJuSAj7XIuEOT38, spotify:artist:62DmErcU7dqZbJaDqwsqzR","AlunaGeorge, Popcaan",spotify:album:6KuHbuDiJNcgEvnLTnfQcY,I Remember,spotify:artist:2VAnyOxzJuSAj7XIuEOT38,AlunaGeorge,2016-09-16,https://i.scdn.co/image/ab67616d0000b27310e8d6268527e7c76fa9f8c7,1,7,209426,https://p.scdn.co/mp3-preview/6b8f2dd5b2f654f91707fc1c67ba75e7c9ca3788?cid=9950ac751e34487dbbe027c4fd7f8e99,False,55,GBUM71507516,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"electropop,house,uk dance,dancehall,jamaican hip hop,reggae fusion,traphall",0.725,0.844,11.0,-3.707,0.0,0.0347,0.363,0.000716,0.125,0.711,104.001,4.0,,Universal-Island Records Ltd.,"C © 2016 Island Records, a division of Universal Music Operations Limited and Interscope Records, P ℗ 2016 Island Records, a division of Universal Music Operations Limited and Interscope Records",1
95,spotify:track:2M9ULmQwTaTGmAdXaXpfz5,Billionaire (feat. Bruno Mars),"spotify:artist:7o9Nl7K1Al6NNAHX6jn6iG, spotify:artist:0du5cEVh5yTK9QJze8zA0C","Travie McCoy, Bruno Mars",spotify:album:1PruwGvQDfgh6CTSFWPNtn,Billionaire (feat. Bruno Mars),spotify:artist:7o9Nl7K1Al6NNAHX6jn6iG,Travie McCoy,2010-03-09,https://i.scdn.co/image/ab67616d0000b27337ce3dd20c2318e13c6608ed,1,1,211160,https://p.scdn.co/mp3-preview/02f41843308e75503161cfce28114902b9e072fa?cid=9950ac751e34487dbbe027c4fd7f8e99,True,76,USAT21000257,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"pop rap,dance pop,pop",0.633,0.673,6.0,-6.403,0.0,0.258,0.297,0.0,0.206,0.659,86.776,4.0,,Decaydance/Fueled By Ramen,"C © 2010 Fueled By Ramen, LLC. for the United States and WEA International Inc. for the world outside of the United States. All rights reserved., P ℗ 2010 Fueled By Ramen, LLC. for the United States and WEA International Inc. for the world outside of the United States. All rights reserved.",1
99,spotify:track:4Y2glvLjQGOb4dXnwm1hQf,Witchcraft,spotify:artist:7MqnCTCAX6SsIYYdJCQj9B,Pendulum,spotify:album:3XtEGVx9uh7J46nBzEc1VS,Immersion,spotify:artist:7MqnCTCAX6SsIYYdJCQj9B,Pendulum,2010-05-21,https://i.scdn.co/image/ab67616d0000b27330f8e0f777376780c4077507,1,12,252786,https://p.scdn.co/mp3-preview/80c453fe2d6364cfa6634a8f37c0bed2e323bd6f?cid=9950ac751e34487dbbe027c4fd7f8e99,False,64,GBAHT1000133,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"australian dance,dancefloor dnb,drum and bass",0.42,0.969,1.0,-3.139,1.0,0.0581,2.84e-05,0.00861,0.379,0.182,174.038,4.0,,WM UK,"C © 2010 Warner Music UK Limited, P ℗ 2010 Warner Music UK Limited",2
106,spotify:track:5yVIlYEHZxQVLyInCdldoS,Impossible,spotify:artist:4IWBUUAFIplrNtaOHcJPRM,James Arthur,spotify:album:029WUoBjWc7Js1QiPH3mw0,James Arthur (Deluxe),spotify:artist:4IWBUUAFIplrNtaOHcJPRM,James Arthur,2013-11-04,https://i.scdn.co/image/ab67616d0000b273192221f838b7b6b9cb4629bf,1,4,209440,https://p.scdn.co/mp3-preview/e5b169ee32ec1f51a1df0ffc4fe730599379ee51?cid=9950ac751e34487dbbe027c4fd7f8e99,False,81,GBHMU1200338,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"pop,talent show,uk pop",0.376,0.695,0.0,-4.782,0.0,0.0933,0.135,0.0,0.11,0.302,169.533,4.0,,Syco Music,P (P) 2013 Simco Limited,2
109,spotify:track:31sSFHIe4NaxltVFOEIcTa,working,"spotify:artist:45dkTj5sMRSjrmBSBeiHym, spotify:artist:6LuN9FCkKOj5PcnpouEgny","Tate McRae, Khalid",spotify:album:4iCcsBlzVQVZoJzxBvhuyS,working,"spotify:artist:45dkTj5sMRSjrmBSBeiHym, spotify:artist:6LuN9FCkKOj5PcnpouEgny","Tate McRae, Khalid",2021-06-17,https://i.scdn.co/image/ab67616d0000b273e9d11eb596a7a7e426d81635,1,1,210219,https://p.scdn.co/mp3-preview/0793ddc8738dcbf948255042a74c26892cea5e5b?cid=9950ac751e34487dbbe027c4fd7f8e99,True,65,USRC12101632,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"alt z,pop,pop,pop r&b",0.783,0.435,7.0,-7.78,1.0,0.0588,0.282,0.0,0.0833,0.512,106.974,4.0,,RCA Records Label,"P (P) 2021 RCA Records, a division of Sony Music Entertainment",0
111,spotify:track:7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),"spotify:artist:6bmlMHgSheBauioMgKv2tn, spotify:artist:35l9BRT7MXmM8bv2WDQiyB","Powfu, beabadoobee",spotify:album:2p9gK2BcdrloHNJwarc9gc,death bed (coffee for your head),"spotify:artist:6bmlMHgSheBauioMgKv2tn, spotify:artist:35l9BRT7MXmM8bv2WDQiyB","Powfu, beabadoobee",2020-02-08,https://i.scdn.co/image/ab67616d0000b273bf01fd0986a195d485922167,1,1,173333,https://p.scdn.co/mp3-preview/e88548073883ae36ba42ee5f1d1096568e417737?cid=9950ac751e34487dbbe027c4fd7f8e99,False,84,USSM12000925,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"sad lo-fi,sad rap,bedroom pop,bubblegrunge,indie pop,pov: indie",0.726,0.431,8.0,-8.765,0.0,0.135,0.731,0.0,0.696,0.348,144.026,4.0,,Columbia,P (P) 2020 Columbia Records [Robots and Humans].,0
127,spotify:track:66CFbqJScx6zRieGllITcs,See You Again (feat. Charlie Puth),"spotify:artist:137W8MRPWKqSmrBGDBFSop, spotify:artist:6VuMaDnrHyPL1p4EHjYLi7","Wiz Khalifa, Charlie Puth",spotify:album:5Nwsra93UQYJ6xxcjcE10x,Nine Track Mind,spotify:artist:6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,2016-01-29,https://i.scdn.co/image/ab67616d0000b273633a2d775747bccfbcb17a45,1,13,229525,https://p.scdn.co/mp3-preview/69c2ac6f1501e5c8bc6970273da5d06fb97a2e76?cid=9950ac751e34487dbbe027c4fd7f8e99,False,62,USAT21503426,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"hip hop,pittsburgh rap,pop rap,rap,southern hip hop,trap,pop,viral pop",0.689,0.481,10.0,-7.503,1.0,0.0815,0.369,1.03e-06,0.0649,0.283,80.025,4.0,,Artist Partner,"C © 2016 Artist Partners for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company., P ℗ 2016 Artist Partners for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company.",0
138,spotify:track:2NniAhAtkRACaMeYt48xlD,50 Ways to Say Goodbye,spotify:artist:3FUY2gzHeIiaesXtOAdB7A,Train,spotify:album:5zseibu9WEsPaZmkJUMkz1,California 37,spotify:artist:3FUY2gzHeIiaesXtOAdB7A,Train,2012-04-17,https://i.scdn.co/image/ab67616d0000b273bde344cc54eedc35050f4c61,1,5,247946,https://p.scdn.co/mp3-preview/859a26b5e46ac6ddc3e0f8d01fbb3159e3a6afe9?cid=9950ac751e34487dbbe027c4fd7f8e99,False,71,USSM11201533,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"dance pop,neo mellow,pop,pop rock",0.591,0.935,6.0,-2.664,1.0,0.0478,0.000284,0.000278,0.142,0.736,140.043,4.0,,Columbia,"P (P) 2012 Columbia Records, a Division of Sony Music Entertainment",1
146,spotify:track:7FCfMXYTIiQ9b4hDYs4Iol,Be the One,spotify:artist:6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,spotify:album:01sfgrNbnnPUEyz6GZYlt9,Dua Lipa (Deluxe),spotify:artist:6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,2017-06-02,https://i.scdn.co/image/ab67616d0000b2736b915e407b70e121e06fe979,1,4,202914,https://p.scdn.co/mp3-preview/63f74b93242c7a4f1794f387413742ac5532ce38?cid=9950ac751e34487dbbe027c4fd7f8e99,False,69,GBAHT1500573,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"dance pop,pop,uk pop",0.661,0.651,7.0,-3.771,0.0,0.0499,0.117,1.32e-05,0.056,0.368,87.46,4.0,,Warner Records,"C © 2017 Dua Lipa Limited under exclusive license to Warner Music UK Limited, P ℗ 2017 Dua Lipa Limited under exclusive license to Warner Music UK Limited. Tracks 3, 6, 7, 8, 9, 13, 14 (P) 2016 Warner Music UK Limited. Tracks 4, 15, 17 (P) 2015 Warner Music UK Limited.",1
